"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"luke's beef & pizza",60634,"Luke's on Harlem The Original",4.3,1.0,1214.0,"OPERATIONAL","ChIJJSwBwAfLD4gRIrc9pxATXRU","3130 N Harlem Ave, Chicago, IL 60634, United States","['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"luke's lobster",60602,"Luke's Lobster City Hall",4.5,2.0,1060.0,"OPERATIONAL","ChIJ64RsIrosDogRebfl0hZOehk","134 N LaSalle St, Chicago, IL 60602, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"lula cafe",60647,"Lula Cafe",4.7,2.0,3197.0,"OPERATIONAL","ChIJ-7r5qHrND4gRgmIpiTEL5Nk","2537 N Kedzie Blvd, Chicago, IL 60647, United States","['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"lumes pancake house",60643,"Lumes Pancake House",4.3,1.0,1872.0,"OPERATIONAL","ChIJrwzAc8EkDogRBfbDd7SsMWM","11601 Western Ave, Chicago, IL 60643, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"luna llena sports grill",60641,"Luna Llena Sport Grill",4.1,"",80.0,"CLOSED_PERMANENTLY","ChIJJ_RWN2DMD4gRRe4sHdFWvNM","5247 W Belmont Ave, Chicago, IL 60641, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"lunch heroes",60614,"Lunch Heroes",5.0,1.0,134.0,"OPERATIONAL","ChIJAV9A3QbTD4gR9NUQb1peLS4","2273 N Lincoln Ave, Chicago, IL 60614, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"lupita's quesadillas",60641,"Tamaleria Lupita",5.0,"",12.0,"OPERATIONAL","ChIJ8_PiFbDLD4gRVSwkhTlZQWs","3811 N Harlem Ave, Chicago, IL 60634, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"lure fishbar chicago",60611,"Lure Fishbar - Chicago",4.2,2.0,249.0,"OPERATIONAL","ChIJE8cV_KwsDogRis7UKo0XYyM","616 N Rush St, Chicago, IL 60611, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"lush wine & spirits",60618,"Lush Wine & Spirits - Roscoe Village",4.3,2.0,171.0,"OPERATIONAL","ChIJ3Z4PUmTSD4gRIwPNCONRIXA","2232 W Roscoe St, Chicago, IL 60618, United States","['bar', 'liquor_store', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
"lusha pizza",60657,"Lusha Pizza",5.0,2.0,159.0,"OPERATIONAL","ChIJP9zDDwDTD4gR0xH5KjahT5k","2825 N Lincoln Ave, Chicago, IL 60657, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
