"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"sushi avenue, inc.",60654,"Sushi Avenue","","","","OPERATIONAL","ChIJA6VyxbvTD4gRJ8ocvS6FD60","3 W Chicago Ave, Chicago, IL 60654, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi avenue, inc.",60654,"Sushi Avenue","","","","OPERATIONAL","ChIJA6VyxbvTD4gRJ8ocvS6FD60","3 W Chicago Ave, Chicago, IL 60654, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi by bou",60607,"Sushi by Bou- Fulton Market Chicago @ Emily Hotel",4.7,"",269.0,"OPERATIONAL","ChIJGzrP6dAsDogRu7c8qQOHJlI","311 N Morgan St, Chicago, IL 60607, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi by weight llc",60604,"Sushi Plus Rotary Sushi Bar - Chinatown",4.7,2.0,2477.0,"OPERATIONAL","ChIJu-1lgzwtDogRVOfHy8GBrDs","2131 S Archer Ave, Chicago, IL 60616, United States","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi dokku",60602,"Sushi Dokku",4.5,2.0,24.0,"CLOSED_PERMANENTLY","ChIJC7yCiaYtDogRRWNXw8OK-ZE","15 W Washington St, Chicago, IL 60602, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi dokku",60607,"SUSHI DOKKU Japanese Restaurant",4.6,2.0,1203.0,"OPERATIONAL","ChIJa1x1zNosDogRWaWIsW63ktg","823 W Randolph St, Chicago, IL 60607, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi hall",60614,"Sushi Hall",4.7,"",217.0,"OPERATIONAL","ChIJG_JWUw_TD4gRYTzbXqZo53Q","2630 N Clark St, Chicago, IL 60614, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"sushi koi",60614,"Koi Sushi",4.5,2.0,1050.0,"OPERATIONAL","ChIJzTV8o1rTD4gRlRwypjCllm0","2156 N Clybourn Ave, Chicago, IL 60614, United States","['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"sushi koi",60614,"Koi Sushi",4.5,2.0,1050.0,"OPERATIONAL","ChIJzTV8o1rTD4gRlRwypjCllm0","2156 N Clybourn Ave, Chicago, IL 60614, United States","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi light",60616,"312 Fish Market",4.6,2.0,346.0,"OPERATIONAL","ChIJ38DgqNEtDogRM8KleUXhHCs","2105 S Jefferson St, Chicago, IL 60616, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi mura chicago",60613,"Sushi Mura",4.5,2.0,280.0,"OPERATIONAL","ChIJL0Z-j07SD4gRpczF7BBU0YY","3647 N Southport Ave, Chicago, IL 60613, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi nova",60606,"Sushi Nova - Chicago",4.8,"",180.0,"OPERATIONAL","ChIJx1YR2OotDogRd7H8KgnUiys","160 N Franklin St fl 1st, Chicago, IL 60606, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi nova",60614,"Sushi Nova - Lincoln Park",4.8,"",461.0,"OPERATIONAL","ChIJ1eOF7HLTD4gRry3xPjk8DkU","1935 N Lincoln Park W, Chicago, IL 60614, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi o sushi",60614,"Sushi O Sushi",4.7,2.0,190.0,"CLOSED_PERMANENTLY","ChIJAVZbMmvTD4gREpOagfkCzm4","346 W Armitage Ave, Chicago, IL 60614, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi para m",60647,"Sushi Para M",4.0,2.0,806.0,"CLOSED_TEMPORARILY","ChIJS92VTb_SD4gRwk6NYW6hSiU","1633 N Milwaukee Ave, Chicago, IL 60647, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi para too",60614,"Sushi Para II",4.4,2.0,1060.0,"OPERATIONAL","ChIJJYnU3BLTD4gRlBhCX-Sp_ZU","2258 N Clark St, Chicago, IL 60614, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"sushi payce",60614,"Sushi Payce",4.0,"",601.0,"OPERATIONAL","ChIJxRcajNvTD4gRMfjbutc4WDo","1417 W Fullerton Ave, Chicago, IL 60614, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi pink",60607,"Sushi Pink",4.6,2.0,281.0,"OPERATIONAL","ChIJsTAsA9ssDogRpQcLXLHRJjk","913 W Washington Blvd, Chicago, IL 60607, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"sushi pink chicago inc.",60607,"Sushi Pink",4.6,2.0,281.0,"OPERATIONAL","ChIJsTAsA9ssDogRpQcLXLHRJjk","913 W Washington Blvd, Chicago, IL 60607, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi san",60614,"Sushi-san",4.9,2.0,1005.0,"OPERATIONAL","ChIJV7zBLJrTD4gRJNinx8bS3dU","1950 N Halsted St, Chicago, IL 60614, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi san",60654,"Sushi-san",4.7,2.0,4527.0,"OPERATIONAL","ChIJx5enN7IsDogRlQ9Sx_28t8Q","63 W Grand Ave, Chicago, IL 60654, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi san river north llc",60606,"Sushi-san",4.7,2.0,4527.0,"OPERATIONAL","ChIJx5enN7IsDogRlQ9Sx_28t8Q","63 W Grand Ave, Chicago, IL 60654, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi taku",60622,"Sushi Taku",4.5,2.0,2571.0,"OPERATIONAL","ChIJBaAW_sjSD4gRCG58SxozWDs","1904 W Division St, Chicago, IL 60622, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"sushi taku",60647,"Sushi Taku-Logan Square",4.5,2.0,1076.0,"OPERATIONAL","ChIJ70lfDSbTD4gRNSeVe1Ubyac","2283 N Milwaukee Ave, Chicago, IL 60647, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi taku rotary",60614,"Sushi Taku Rotary STR",4.9,"",970.0,"OPERATIONAL","ChIJHXOcNwDTD4gRJhvajFciUZE","935 W Webster Ave, Chicago, IL 60614, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi tokoro",60625,"Sushi Tokoro",4.5,2.0,1290.0,"OPERATIONAL","ChIJr5MA4gTSD4gR4-6IYQF_kKo","4750 N Western Ave, Chicago, IL 60625, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi with gusto",60614,"Sushi Hall",4.7,"",217.0,"OPERATIONAL","ChIJG_JWUw_TD4gRYTzbXqZo53Q","2630 N Clark St, Chicago, IL 60614, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushi world",60659,"Sushi World",4.4,2.0,524.0,"OPERATIONAL","ChIJR9l6007PD4gRvk6Sk_bxcx4","6251 N McCormick Blvd, Chicago, IL 60659, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"sushilicious",60646,"sushilicious sushi and rice",4.1,"",45.0,"OPERATIONAL","ChIJdSlCB0_PD4gReha5gVnmW0o","5419 W Devon Ave, Chicago, IL 60646, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
