"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"bryn mawr breakfast club",60659,"Bryn Mawr Breakfast Club",4.6,2.0,2103.0,"OPERATIONAL","ChIJq6qqqg3OD4gRsiaMzFwwUUg","3348 W Bryn Mawr Ave, Chicago, IL 60659, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"bryn mawr breakfast club",60641,"Bryn Mawr Breakfast Club",4.6,2.0,524.0,"OPERATIONAL","ChIJIYjfuAfND4gRpPBS5rkMSwE","4459 W Belmont Ave, Chicago, IL 60641, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"bryn mawr breakfast club llc",60625,"Bryn Mawr Breakfast Club",4.8,2.0,57.0,"OPERATIONAL","ChIJzys3UgDTD4gRPfcXHsA7ZUw","4747 N Damen Ave, Chicago, IL 60625, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"bsmooth",60666,"B-Smooth",3.5,2.0,73.0,"OPERATIONAL","ChIJQ8zVTSm0D4gRLo_gV11shsc","10000 West, Chicago, IL 60666, United States","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"bub city",60654,"Bub City",4.4,2.0,3277.0,"OPERATIONAL","ChIJMaurKrIsDogRfzxokqjCMys","435 N Clark St, Chicago, IL 60654, United States","['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']"
"bubble net",60605,"","","","","","","",""
"budacki's drive in",60625,"Budacki's Drive In",4.7,1.0,850.0,"OPERATIONAL","ChIJJ08bYBjSD4gR-Hw7LbRbOO8","4739 N Damen Ave, Chicago, IL 60625, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"buddy guy's legends",60605,"Buddy Guy's Legends",4.6,2.0,3305.0,"OPERATIONAL","ChIJdUU4_5gsDogRFWnSasIW-uA","700 S Wabash Ave, Chicago, IL 60605, United States","['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"budlong hot chicken",60614,"The Budlong Southern Chicken",4.4,2.0,729.0,"OPERATIONAL","ChIJQ9e62R7TD4gRzqXmA0RMhqs","1008 W Armitage Ave, Chicago, IL 60614, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"budlong hot chicken",60615,"The Budlong Hot Chicken",3.7,1.0,312.0,"CLOSED_PERMANENTLY","ChIJ6TsNZDYpDogRAiZp8di9da4","1301 E 53rd St, Chicago, IL 60615, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"budlong hot chicken",60625,"The Budlong Southern Chicken",4.3,2.0,644.0,"OPERATIONAL","ChIJJR9e8Q_SD4gRMWhobA_uCfI","4619 N Western Ave, Chicago, IL 60625, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"buen apetito",60661,"Buen Apetito",4.1,1.0,24.0,"OPERATIONAL","ChIJMTmMTcYsDogRC5vuYXeVays","131 N Clinton St, Chicago, IL 60661, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"buena vista restaurant",60657,"Buena Vista Restaurant",4.6,1.0,459.0,"OPERATIONAL","ChIJK3yyuKbTD4gRaQTX1n6-VrM","3147 N Broadway, Chicago, IL 60657, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"buffalo joe's on howard",60626,"Buffalo Joe’s - Howard St.",4.2,1.0,1167.0,"OPERATIONAL","ChIJmZg9F0rQD4gRm7KF7Oc_NXE","1841 W Howard St, Chicago, IL 60626, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"buffalo sam",60624,"Buffalo Sam's",4.3,1.0,625.0,"OPERATIONAL","ChIJHRwwvuEyDogRVsARcC1ufz0","508 S Kostner Ave, Chicago, IL 60624, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"buffalo wild wings",60639,"Buffalo Wild Wings",3.5,2.0,1950.0,"OPERATIONAL","ChIJY9qnpXrLD4gRCA6O72ks_5w","2650 N Narragansett Ave, Chicago, IL 60639, United States","['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"buffalo wild wings",60607,"Buffalo Wild Wings",3.1,2.0,2440.0,"OPERATIONAL","ChIJQ8PH5ewsDogRbGmnrLnsKJY","513 W Taylor St, Chicago, IL 60607, United States","['meal_takeaway', 'restaurant', 'bar', 'point_of_interest', 'food', 'establishment']"
"buffalo wild wings",60612,"Buffalo Wild Wings 'GO'",4.0,2.0,193.0,"OPERATIONAL","ChIJwdXpGIwtDogRIMGFuNg56lc","707 S Seeley Ave, Chicago, IL 60612, United States","['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"buffalo wild wings #870",60640,"Buffalo Wild Wings 'GO'",2.9,2.0,88.0,"OPERATIONAL","ChIJZy9LiRTRD4gRlAP0IhyYky8","5316 N Broadway, Chicago, IL 60640, United States","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"buffalo wild wings go #836",60645,"Buffalo Wild Wings 'GO'",2.9,2.0,97.0,"OPERATIONAL","ChIJ76q5qiHRD4gRXvuy6WV9M-I","7135 N Western Ave, Chicago, IL 60645, United States","['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"buffalo wild wings go #837",60647,"Buffalo Wild Wings 'GO'",3.2,2.0,105.0,"OPERATIONAL","ChIJAfqCUPHND4gRcoPzNcqlTn4","2820-5 W Armitage Ave, Chicago, IL 60647, United States","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"buffalo wild wings grill & bar",60614,"Buffalo Wild Wings",3.7,2.0,1949.0,"OPERATIONAL","ChIJVa8d3gTTD4gRPDEi0nMQvXc","1832 N Clybourn Ave, Chicago, IL 60614, United States","['bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"buffalo wings and rings",60608,"Wings and Rings",4.0,2.0,2109.0,"OPERATIONAL","ChIJqXBBmzksDogR8pDe_sK-74Q","3434 S Halsted St, Chicago, IL 60608, United States","['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
