"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"dear sub",60639,"Sun Sub",4.3,1.0,200.0,"OPERATIONAL","ChIJDWYu7rrMD4gR-TvQfYJwM0Q","5542 W North Ave, Chicago, IL 60639, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"debevic's restaurant",60611,"Ed Debevic's",4.7,2.0,3664.0,"OPERATIONAL","ChIJ4w0jVuctDogRIj0Kw84bYpk","159 E Ohio St, Chicago, IL 60611, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"decadent chicago",60605,"Decadent Chicago",4.6,2.0,172.0,"CLOSED_TEMPORARILY","ChIJiV5YPUQtDogR8m9T9XibUDM","1355 S Michigan Ave, Chicago, IL 60605, United States","['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']"
"declan's irish pub",60610,"Declan's Irish Pub",4.2,2.0,432.0,"OPERATIONAL","ChIJvUXnnkjTD4gRXgDxhUfj09U","1240 N Wells St, Chicago, IL 60610, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"dee dees kitchen",60649,"Dee-Dee's Kitchen",3.5,"",36.0,"CLOSED_PERMANENTLY","ChIJL1eRoM0pDogRcQfx5VbLivE","1945 E 79th St, Chicago, IL 60649, United States","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"dee's restaurant inc",60614,"Dee's",4.3,2.0,132.0,"OPERATIONAL","ChIJ3UQkUx7TD4gRXrzxJrIavFc","1114 W Armitage Ave, Chicago, IL 60614, United States","['bar', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"deep purpl",60642,"Deep Purpl - Acai Bowls",4.2,2.0,44.0,"OPERATIONAL","ChIJpYdS3bnTD4gRVeQ9L14dd3c","1001 W North Ave, Chicago, IL 60642, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"deep purpl",60660,"Deep Purpl - Acai Bowls",4.4,2.0,62.0,"OPERATIONAL","ChIJs6ZP2-vRD4gRKCLi-TlxIak","1137 W Sheridan Rd, Chicago, IL 60660, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"deep purpl",60622,"Deep Purpl - Acai Bowls",4.3,2.0,149.0,"OPERATIONAL","ChIJ48Kc7vTTD4gRieoQ09WJKRY","1375 N Milwaukee Ave Ste 1, Chicago, IL 60622, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"deep purpl",60607,"Deep Purpl - Acai Bowls (West Loop)",4.4,2.0,290.0,"OPERATIONAL","ChIJB5NMM_YtDogRFWnLE-oZ1NI","500 W Madison St Ste 003, Chicago, IL 60661, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"deep purpl",60614,"Deep Purpl - Acai Bowls",4.6,2.0,164.0,"OPERATIONAL","ChIJEQoRK-zTD4gRqzxkeCwuBMQ","2472 N Clark St, Chicago, IL 60614, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"deep purpl",60661,"Deep Purpl - Acai Bowls (West Loop)",4.4,2.0,290.0,"OPERATIONAL","ChIJB5NMM_YtDogRFWnLE-oZ1NI","500 W Madison St Ste 003, Chicago, IL 60661, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"deep purpl",60615,"Deep Purpl - Acai Bowls",4.6,2.0,417.0,"OPERATIONAL","ChIJB4E8ghopDogR1QBSKjYDuc8","5229 S Harper Ct, Chicago, IL 60615, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"deep purpl",60610,"Deep Purpl - Acai Bowls",4.5,2.0,90.0,"OPERATIONAL","ChIJawEsT43TD4gR4ubaicSm2aw","810 N Clark St, Chicago, IL 60610, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"deep purple fons",60601,"Deep Purpl - Acai Bowls",4.6,2.0,231.0,"OPERATIONAL","ChIJ8S0dw5ItDogRm2m8h28kQgM","152 N Wabash Ave, Chicago, IL 60601, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"dejurs madison corp dba dunkin' donuts",60607,"Dunkin'",4.2,1.0,473.0,"OPERATIONAL","ChIJz4w3gSQtDogRIpZWDUCknLE","1519 W Madison St, Chicago, IL 60607, United States","['cafe', 'bakery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']"
"del borrego inc",60623,"La Casa del Borrego",4.2,"",132.0,"OPERATIONAL","ChIJLe9JKrQzDogRzEQuIkzrLYI","3002 S Pulaski Rd, Chicago, IL 60623, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"del carmen mexican street food",60647,"Del Carmen Mexican Street food",5.0,2.0,44.0,"CLOSED_PERMANENTLY","ChIJie1CyADTD4gRpIywwfPZqug","2032 N Damen Ave, Chicago, IL 60647, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"del seoul",60614,"Del Seoul",4.7,1.0,2029.0,"OPERATIONAL","ChIJmcIAGwzTD4gRC37nKNYVECg","2568 N Clark St, Chicago, IL 60614, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"del toro",60608,"Del Toro",4.5,2.0,1036.0,"OPERATIONAL","ChIJufxarFksDogRmZafmauuI5E","2133 S Halsted St, Chicago, IL 60608, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"deleite restaurant",60608,"Deleite Mexican food",4.3,"",4.0,"OPERATIONAL","ChIJK-pTyiotDogRIKdu1fB66uM","1658 W Cermak Rd, Chicago, IL 60608, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"deleite's pizza and mexican food llc",60641,"Deleite’s Pizza and Mexican Food",4.7,2.0,87.0,"OPERATIONAL","ChIJkcq-gvXND4gRJ1IJTpY-va0","3576 N Milwaukee Ave, Chicago, IL 60641, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"delhi darbar",60659,"Delhi Darbar Kabab House",4.0,2.0,1208.0,"OPERATIONAL","ChIJo9Vb9iLOD4gR8NIzMkXtE0k","3010 W Devon Ave, Chicago, IL 60659, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"deli king",60621,"Deli King Inc",4.1,1.0,255.0,"OPERATIONAL","ChIJd-HjxDwvDogRjhfKYrcT7Ck","410 W 71st St, Chicago, IL 60621, United States","['meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"delicia crucita corp.",60634,"Delicias Crucita - Comida Ecuatoriana",4.4,1.0,270.0,"OPERATIONAL","ChIJ39zaK3DMD4gRnzLFunhPetM","3810 N Central Ave, Chicago, IL 60634, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"delicias de maria",60609,"Las Delicias De Maria",4.2,"",167.0,"OPERATIONAL","ChIJzdBBeOMtDogRyoHilUU7qE0","3685 S Archer Ave, Chicago, IL 60609, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"delicias el catrachito",60634,"Delicias El Catrachito",4.8,2.0,1061.0,"OPERATIONAL","ChIJxV-geHjND4gRPSPkhrKXN_Y","5846 W Montrose Ave, Chicago, IL 60634, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"delicias el catrachito llc",60618,"Delicias El Catrachito",4.8,2.0,1061.0,"OPERATIONAL","ChIJxV-geHjND4gRPSPkhrKXN_Y","5846 W Montrose Ave, Chicago, IL 60634, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"delicias mexicana restaurant",60623,"Delicias Mexicanas Restaurant",3.6,1.0,206.0,"OPERATIONAL","ChIJTzqZF08yDogRhFe9ts-xfj0","4148 W 26th St, Chicago, IL 60623, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"delicious pho, inc.",60630,"Pho Delicious Vietnamese Restaurant Chicago IL",4.8,2.0,353.0,"OPERATIONAL","ChIJpadL4HzND4gRt7SxygBcmUw","Inside Market Mix Mall, 5033 N Elston Ave Suite 143-144, Chicago, IL 60630, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"delitime l.l.c.",60631,"Deli Time",4.5,"",2.0,"CLOSED_PERMANENTLY","ChIJRzcqdvrJD4gRJP_YjQFBTfw","8745 W Higgins Rd Ste 105, Chicago, IL 60631, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"dell' rooster",60622,"Dell' Rooster Restaurant & Bar",4.9,2.0,392.0,"OPERATIONAL","ChIJHSiCtTQtDogRvEE83k462xo","1825 W Chicago Ave, Chicago, IL 60622, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"delmonico",60602,"Delmonico Restaurant",3.8,2.0,171.0,"OPERATIONAL","ChIJj2CpVrosDogRw1jeqKasGp8","111 W Washington St, Chicago, IL 60602, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"demera ethiopian restaurant",60640,"Demera Restaurant",4.6,2.0,2147.0,"OPERATIONAL","ChIJn3YvvizSD4gRpcXR5695BoU","4801 N Broadway, Chicago, IL 60640, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"dena kitchen",60647,"Dena Kitchen",4.4,1.0,194.0,"OPERATIONAL","ChIJEXk4aG7ND4gRICLs3unleKE","3306 W Fullerton Ave, Chicago, IL 60647, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"denden restaurant",60626,"Denden Restaurant",4.6,1.0,219.0,"OPERATIONAL","ChIJo3HUMrrRD4gRnPD14qIuFDw","6635 N Clark St, Chicago, IL 60626, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"dennis pizza guzman",60623,"Dennis Pizza",4.5,1.0,119.0,"OPERATIONAL","ChIJK1cZ13EyDogR07Xb_2HBPgc","3257 W 26th St, Chicago, IL 60623, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"dennis pizza inc.",60623,"Dennis Pizza",4.5,1.0,119.0,"OPERATIONAL","ChIJK1cZ13EyDogR07Xb_2HBPgc","3257 W 26th St, Chicago, IL 60623, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"dennis' b & k",60623,"Dennis B&K",4.8,"",70.0,"OPERATIONAL","ChIJ08xyrkMyDogRQJ36qOfn4Cw","3806 W 26th St, Chicago, IL 60623, United States","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"denucci's",60614,"DeNucci's",4.7,2.0,356.0,"OPERATIONAL","ChIJ06uNgCTTD4gRM-tnBtn5EWc","503 W Dickens Ave, Chicago, IL 60614, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"depasada restaurant",60607,"De Pasada",4.3,1.0,602.0,"OPERATIONAL","ChIJVaF9pRstDogRHvljkG5bWIQ","1517 W Taylor St, Chicago, IL 60607, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"derice asian cusine",60653,"De Rice Asian Cuisine",3.9,1.0,190.0,"CLOSED_PERMANENTLY","ChIJXWSFEFwpDogRMK0S13doL1s","920 E 47th St, Chicago, IL 60653, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"desert hawk",60622,"Desert Hawk",4.9,"",90.0,"OPERATIONAL","ChIJD38KERPTD4gRhO6vjNeJ90g","2049 W Division St, Chicago, IL 60622, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"devil dawgs",60622,"Devil Dawgs Wicker Park",4.4,1.0,1036.0,"OPERATIONAL","ChIJgf1aesbSD4gR3glVzhrCmvI","1431 N Milwaukee Ave, Chicago, IL 60622, United States","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"devil dawgs",60657,"Devil Dawgs Belmont",4.4,1.0,485.0,"OPERATIONAL","ChIJ04AoSBLTD4gR_Gk1r8PJfYA","937 W Belmont Ave, Chicago, IL 60657, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"devil dawgs gold coast",60611,"Devil Dawgs Rush St",4.5,1.0,435.0,"OPERATIONAL","ChIJAUYLVezTD4gR4D61LrqrcTI","804 N Rush St, Chicago, IL 60611, United States","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
