"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"tts tacos & tequilas",60642,"TTS Tacos & Tequilas",4.8,2,109,"OPERATIONAL","ChIJJafU65LTD4gRSr76vIkAVJE","1438 W Chicago Ave, Chicago, IL 60642, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tts tacos & tequilas",60642,"TTS Tacos & Tequilas",4.8,2.0,109.0,"OPERATIONAL","ChIJJafU65LTD4gRSr76vIkAVJE","1438 W Chicago Ave, Chicago, IL 60642, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tts tacos & tortas",60630,"TTS Tacos & Tortas",4.5,2.0,346.0,"OPERATIONAL","ChIJz3qH6bDND4gR1EAXehGRotM","4507 W Lawrence Ave, Chicago, IL 60630, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tuco & blondie",60657,"Tuco And Blondie",4.4,2.0,1574.0,"OPERATIONAL","ChIJTcDpnlHSD4gRZOaxJicTdjo","3358 N Southport Ave, Chicago, IL 60657, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tufano's vernon park tap",60607,"Tufano's Vernon Park Tap",4.6,2.0,1332.0,"OPERATIONAL","ChIJYymCJOEsDogRkh7RJpjEk3k","1073 W Vernon Park Pl, Chicago, IL 60607, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tuk tuk",60607,"Tuk Tuk Indian Street Food",4.4,2.0,351.0,"OPERATIONAL","ChIJfaqw8a8tDogR8VeoB4Yj6_U","1445 W Taylor St, Chicago, IL 60607, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tuk tuk thai isan street food",60657,"Tuk Tuk Thai Isan Street Food",4.5,2.0,511.0,"OPERATIONAL","ChIJ7_iFytzTD4gRm5qD9iLaOuc","2852 N Clark St, Chicago, IL 60657, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tumans",60622,"Tuman's Tap and Grill",4.6,2.0,522.0,"OPERATIONAL","ChIJq2qPRkstDogRCrIeIyvV-mc","2159 W Chicago Ave, Chicago, IL 60622, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"turkey chop",60651,"Turkey Chop Gourmet Grill",4.1,1.0,618.0,"OPERATIONAL","ChIJtfZy3bQyDogRTVUSrs3c5yc","3506 W Chicago Ave, Chicago, IL 60651, United States","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"turkish cafe & bakkal",60625,"Istanbul Mediterranean Grill,Baklava&Kunafa",4.8,"",32.0,"OPERATIONAL","ChIJK0IpJrXND4gRurVXEk2hwRU","4849 N Kedzie Ave, Chicago, IL 60625, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"turkitch",60614,"Turkitch French Market",3.7,1.0,3.0,"CLOSED_PERMANENTLY","ChIJ55-EuMctDogRItGvefDqzRg","131 N Clinton St Unit 14, Chicago, IL 60661, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"turtles",60616,"Turtle's Bar & Grill",4.5,2.0,508.0,"OPERATIONAL","ChIJqYYJXhMsDogRWuCPkY0NxKk","238 W 33rd St, Chicago, IL 60616, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"tuscan hen foods",60618,"Tuscan Hen Market",4.7,2.0,230.0,"OPERATIONAL","ChIJB-ZYu2rSD4gRgev_ZFGAXxY","4019 N Damen Ave, Chicago, IL 60618, United States","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"tuscany cafe",60666,"Stefani's Tuscany Cafe",3.6,3.0,1655.0,"OPERATIONAL","ChIJRSn-ONe1D4gR5MRiipgCJc4","5600 Mannheim Rd, Des Plaines, IL 60018, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tuscany restaurant",60607,"Tuscany on Taylor",4.6,2.0,1064.0,"OPERATIONAL","ChIJV4wnQOQsDogRdGo2O6bsRVc","1014 W Taylor St, Chicago, IL 60607, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tutto fresco",60657,"Tutto Fresco",4.7,3.0,246.0,"OPERATIONAL","ChIJWzcCi_fSD4gRlz7gyvWAfZ0","2901 N Ashland Ave, Chicago, IL 60657, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tuxpan mexican grill",60630,"FIESTA MC MEXICAN GRILL",4.2,1.0,297.0,"OPERATIONAL","ChIJb2Dng6zOD4gRcgle0FFqmok","5540 N Milwaukee Ave #1227, Chicago, IL 60630, United States","['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"tweet",60640,"Tweet",4.7,2.0,2099.0,"OPERATIONAL","ChIJnQ2Zl9XTD4gRZ6JMT0S3MFU","5020 N Sheridan Rd, Chicago, IL 60640, United States","['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"twenty three inc. 23 bar and grill",60707,"","","","","","","",""
"twin anchors",60614,"Twin Anchors Restaurant & Tavern",4.7,2.0,1691.0,"OPERATIONAL","ChIJH2QIfz_TD4gRawN6EJTH5ag","1655 N Sedgwick St, Chicago, IL 60614, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"twisted dough",60653,"","","","","","","",""
"twisted hippo taproom and eatery",60618,"Twisted Hippo",4.5,2.0,220.0,"OPERATIONAL","ChIJ7dNDbo3ND4gRubCg_hmcfLI","417 N Ashland Ave, Chicago, IL 60642, United States","['bar', 'restaurant', 'food', 'liquor_store', 'store', 'point_of_interest', 'establishment']"
"twisted spoke",60642,"Twisted Spoke",4.5,2.0,1388.0,"OPERATIONAL","ChIJ0dH3BCotDogR8Yn-VWG_yYI","501 N Ogden Ave, Chicago, IL 60642, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"twisted taco",60640,"Twisted Taqueria",5.0,"",42.0,"CLOSED_PERMANENTLY","ChIJCe-tNZXTD4gRNKvQA8y4rrM","1967 W Lawrence Ave, Chicago, IL 60640, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"two  mile llc",60643,"","","","","","","",""
"two brothers pizza inc. domino's",60608,"","","","","","","",""
"two fish",60653,"Two Fish Crab Shack",4.2,2.0,2139.0,"OPERATIONAL","ChIJQYsDvlApDogRu1EEMWXTHQU","641 E 47th St, Chicago, IL 60653, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"two shades cafe, inc.",60607,"Two Shades Cafe",4.5,1.0,234.0,"OPERATIONAL","ChIJaxnZxBEtDogRviWJKzcqbJc","1152 W Taylor St, Chicago, IL 60607, United States","['cafe', 'bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
"two sharks",60649,"","","","","","","",""
"typica cafe corp",60622,"TYPICA CAFE (DINER CAFE) TAYLOR",4.5,1.0,168.0,"CLOSED_TEMPORARILY","ChIJbX0kDwgtDogRDywyveCHufA","Front Store, 2325 W Taylor St, Chicago, IL 60612, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"typica cafe diner",60612,"TYPICA CAFE (DINER CAFE) TAYLOR",4.5,1.0,168.0,"CLOSED_TEMPORARILY","ChIJbX0kDwgtDogRDywyveCHufA","Front Store, 2325 W Taylor St, Chicago, IL 60612, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tzuco   tales   panango",60654,"","","","","","","",""
"udupi palace restaurant",60659,"Udupi Palace Restaurant | Best vegetarian Indian Restaurant in Chicago",3.4,2.0,1379.0,"OPERATIONAL","ChIJZ6ApXd7RD4gRODXtF-o5DkM","2543 W Devon Ave, Chicago, IL 60659, United States","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"ukai restaurant",60657,"Ukai Sushi & Ramen",4.6,2.0,322.0,"OPERATIONAL","ChIJz_qRb6vTD4gRr6iqv1ZZzmg","1059 W Belmont Ave, Chicago, IL 60657, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"ukai sushi",60657,"Ukai Sushi & Ramen",4.6,2.0,322.0,"OPERATIONAL","ChIJz_qRb6vTD4gRr6iqv1ZZzmg","1059 W Belmont Ave, Chicago, IL 60657, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"umai",60605,"Umai",4.5,2.0,1592.0,"OPERATIONAL","ChIJObwrHZcsDogRjBnSkIgKXOE","730 S Clark St, Chicago, IL 60605, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"umami sushi",60656,"Umami Sushi",4.2,2.0,1091.0,"OPERATIONAL","ChIJhX0BdxbKD4gRy0mR5PzQ8zA","4626 N Cumberland Ave, Chicago, IL 60656, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"ummo & the loft",60610,"","","","","","","",""
"un amor",60642,"Un amor",4.8,2.0,223.0,"OPERATIONAL","ChIJj4wBXqvTD4gRtAO9HFLDK88","1450 W Chicago Ave, Chicago, IL 60642, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"unbeatable eatables",60615,"Unbeatable Eatables Hyde Park Cafe",4.8,2.0,75.0,"CLOSED_PERMANENTLY","ChIJI92OVkkpDogRCaPqfyl0kKs","1744 E 55th St, Chicago, IL 60615, United States","['restaurant', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']"
"twisted spoke",60642,"Twisted Spoke",4.5,2.0,1388.0,"OPERATIONAL","ChIJ0dH3BCotDogR8Yn-VWG_yYI","501 N Ogden Ave, Chicago, IL 60642, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"twisted taco",60640,"Twisted Taqueria",5.0,"",42.0,"CLOSED_PERMANENTLY","ChIJCe-tNZXTD4gRNKvQA8y4rrM","1967 W Lawrence Ave, Chicago, IL 60640, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"two  mile llc",60643,"","","","","","","",""
"two brothers pizza inc. domino's",60608,"","","","","","","",""
"two fish",60653,"Two Fish Crab Shack",4.2,2.0,2139.0,"OPERATIONAL","ChIJQYsDvlApDogRu1EEMWXTHQU","641 E 47th St, Chicago, IL 60653, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"two shades cafe, inc.",60607,"Two Shades Cafe",4.5,1.0,234.0,"OPERATIONAL","ChIJaxnZxBEtDogRviWJKzcqbJc","1152 W Taylor St, Chicago, IL 60607, United States","['cafe', 'bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
"two sharks",60649,"","","","","","","",""
"typica cafe corp",60622,"TYPICA CAFE (DINER CAFE) TAYLOR",4.5,1.0,168.0,"CLOSED_TEMPORARILY","ChIJbX0kDwgtDogRDywyveCHufA","Front Store, 2325 W Taylor St, Chicago, IL 60612, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"typica cafe diner",60612,"TYPICA CAFE (DINER CAFE) TAYLOR",4.5,1.0,168.0,"CLOSED_TEMPORARILY","ChIJbX0kDwgtDogRDywyveCHufA","Front Store, 2325 W Taylor St, Chicago, IL 60612, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"tzuco   tales   panango",60654,"","","","","","","",""
"udupi palace restaurant",60659,"Udupi Palace Restaurant | Best vegetarian Indian Restaurant in Chicago",3.4,2.0,1379.0,"OPERATIONAL","ChIJZ6ApXd7RD4gRODXtF-o5DkM","2543 W Devon Ave, Chicago, IL 60659, United States","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
