"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"#1 chop suey",60641,"Number 1 Chop Suey",3.9,1.0,140.0,"OPERATIONAL","ChIJ3xcrwrTND4gRWW0mUh9chDw","4307 W Irving Park Rd, Chicago, IL 60641, United States","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"#1 chop suey restaurant, inc",60649,"#1 Chop Suey",4.1,1.0,246.0,"OPERATIONAL","ChIJv-JJcfEoDogRZNGDL6nL10k","7342 S Stony Island Ave, Chicago, IL 60649, United States","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"1 karachi chaat house",60659,"Karachi Chaat House",4.2,1.0,1565.0,"OPERATIONAL","ChIJJe-O-t_RD4gRNLnlHsRN7UI","2301 W Devon Ave, Chicago, IL 60659, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"1 n wacker kitchen and bar",60606,"One North Kitchen & Bar",4.2,2.0,434.0,"OPERATIONAL","ChIJLW3g5bgsDogRrhdRVUHOEPQ","1 N Wacker Dr, Chicago, IL 60606, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"101 club",60611,"The 101 Bar & Grill",4.6,2.0,129.0,"OPERATIONAL","ChIJZZ-5q40tDogR40QYi2bjdEE","101 E Erie St, Chicago, IL 60611, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"11 dining",60612,"Park Tavern",4.2,2.0,1260.0,"OPERATIONAL","ChIJozC_ST0tDogR6NuevG697Ac","1645 W Jackson Blvd, Chicago, IL 60612, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"11 dining",60605,"Wagyu House Chicago",4.8,2.0,4738.0,"OPERATIONAL","ChIJFSy84_0tDogRCibwjlnDRts","1147 S Delano Ct East, Chicago, IL 60605, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"11 dining",60612,"Park Tavern",4.2,2.0,1260.0,"OPERATIONAL","ChIJozC_ST0tDogR6NuevG697Ac","1645 W Jackson Blvd, Chicago, IL 60612, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"11 dinning",60611,"676 Restaurant & Bar",4.4,2.0,203.0,"OPERATIONAL","ChIJtydKsawsDogRY5t2aUIXeBc","676 Michigan Ave, Chicago, IL 60611, United States","['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']"
"1200 grill",60651,"Golden Hook Fish & Chicken",3.8,1.0,258.0,"OPERATIONAL","ChIJBQJfhDUzDogRRwQR7f4tbrE","5215 W Chicago Ave, Chicago, IL 60651, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"1308 chicago",60642,"1308 Chicago",4.5,2.0,135.0,"CLOSED_PERMANENTLY","ChIJSaK7HorTD4gR9SMNsUQZoIU","1308 N Elston Ave, Chicago, IL 60642, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"14 parish",60615,"14 Parish",4.3,2.0,1307.0,"OPERATIONAL","ChIJZ1O0VnksDogR3-KtPsNw7Io","1644 E 53rd St, Chicago, IL 60615, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"1492 cuban fusion inc",60647,"1492 Cuban Fusion Café",4.8,1.0,2553.0,"OPERATIONAL","ChIJrx5YnqbSD4gRrse1l6TO9bA","2615 W North Ave, Chicago, IL 60647, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"1st chop suey",60638,"1st Chop Suey",4.2,1.0,428.0,"OPERATIONAL","ChIJPW_p3z4xDogRI1p912VJvBM","5845 S Archer Ave, Chicago, IL 60638, United States","['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"1st hunan spring, inc",60630,"Hunan Spring Restaurant",4.4,1.0,195.0,"OPERATIONAL","ChIJWSZGhyDMD4gRURtZCY7KbYk","5279 N Elston Ave, Chicago, IL 60630, United States","['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"2 asian brothers",60625,"2 Asian Brothers",4.4,1.0,357.0,"OPERATIONAL","ChIJUzBsgeLND4gRNawgYsGAU5c","3222 W Foster Ave, Chicago, IL 60625, United States","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"2015 see thru chinese kitchen",60619,"See Thru Chinese Kitchen",3.6,1.0,174.0,"OPERATIONAL","ChIJvSE8TrcoDogRRVOv9VW_AoY","609 E 79th St, Chicago, IL 60619, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"24 hrs gyros & sub inc.,",60649,"24 Hr Gyros & Subs",3.8,1.0,163.0,"OPERATIONAL","ChIJ06q9ylAoDogR5qGnmR9bj1A","2058 E 71st St, Chicago, IL 60649, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"24379",60610,"","","","","","","",""
"2am izakaya",60614,"2AM Izakaya",4.7,"",204.0,"OPERATIONAL","ChIJU1jYvS3TD4gR8mxKgHN4aG8","2218 N Lincoln Ave, Chicago, IL 60614, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"2d restaurant",60657,"2d restaurant - Mochi Donuts and Fried Chicken",4.3,2.0,1003.0,"OPERATIONAL","ChIJhT4m0jjTD4gR_jmC3XA6E8s","3155 N Halsted St, Chicago, IL 60657, United States","['restaurant', 'bakery', 'meal_takeaway', 'cafe', 'food', 'store', 'point_of_interest', 'establishment']"
"2h cafe bar",60625,"The Green Post",4.5,2.0,397.0,"OPERATIONAL","ChIJUcEb0WDTD4gRUTnolRQ7BbA","4749 N Rockwell St, Chicago, IL 60625, United States","['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"2nd star tavern",60618,"","","","","","","",""
"3 asian sisters",60614,"3 Asian Sisters",4.9,1.0,81.0,"OPERATIONAL","ChIJ4eW7CjjTD4gRBF_hVYXEQMs","818 W Fullerton Ave, Chicago, IL 60614, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"3 king's jerk & gourmet egg rolls llc",60644,"3 KINGS JERK & SOUL",3.8,2.0,200.0,"OPERATIONAL","ChIJkQAJc3UzDogRVUTpxx_EMPU","556 N Cicero Ave, Chicago, IL 60644, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"3 kings jerk & soul llc",60644,"3 KINGS JERK & SOUL",3.8,2.0,200.0,"OPERATIONAL","ChIJkQAJc3UzDogRVUTpxx_EMPU","556 N Cicero Ave, Chicago, IL 60644, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"3 m restaurant, inc.",60660,"BUREK SHOP 3M Restaurant",4.8,1.0,103.0,"OPERATIONAL","ChIJtf8RVRXRD4gRWTuDwpr7NPk","5910 N Clark St, Chicago, IL 60660, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"3 sauces",60616,"3 Sauces Hainam Chicken Rice 海南鸡饭",4.5,1.0,50.0,"OPERATIONAL","ChIJS2wG_9gtDogRNdPbArpbcas","2002 S Wentworth Ave b11, Chicago, IL 60616, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"312 chicago",60602,"312 Chicago",4.4,3.0,853.0,"CLOSED_PERMANENTLY","ChIJCQKeF7osDogRXujVV3cHa_Y","136 N LaSalle St, Chicago, IL 60602, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"35th street redhots",60616,"35th Street Red Hots",4.6,1.0,1085.0,"OPERATIONAL","ChIJMV-LBz4sDogR16JnqSk6j7Q","500 W 35th St, Chicago, IL 60616, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"3lp",60608,"3 Little Pigs Chi (3LP)",4.3,"",180.0,"OPERATIONAL","ChIJ9z3N72gtDogRhD0Zsi6OAAc","964 W 31st St, Chicago, IL 60608, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"3rd base steak and hoagies llc",60655,"On 3rd Steak and Hoagies",3.0,"",2.0,"CLOSED_TEMPORARILY","ChIJJ75gT4AlDogRroZCYGkYmwc","2740 W 111th St, Chicago, IL 60655, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"4 hermanos too",60646,"4 Hermanos Mexican Grill",4.2,2.0,278.0,"OPERATIONAL","ChIJAQXajQLMD4gR9bVmMOH-7tQ","6145 W Touhy Ave, Chicago, IL 60646, United States","['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"4 seasons",60609,"4 Seasons",4.7,1.0,181.0,"OPERATIONAL","ChIJw0X3wdYvDogRbSlzB7gW7pA","4755 S Ashland Ave, Chicago, IL 60609, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"4 yolks,inc",60707,"4 Yolks",3.9,1.0,468.0,"CLOSED_PERMANENTLY","ChIJtU4nVAXLD4gRCzA_IM8RYw0","2661 N Harlem Ave, Chicago, IL 60707, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"5 rabanitos",60608,"5 Rabanitos Restaurante & Taqueria",4.5,2.0,2547.0,"OPERATIONAL","ChIJ0T8ttwktDogRGqYtYQWKuvU","1758 W 18th St, Chicago, IL 60608, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"500 degree pizzeria",60621,"Chicago Pizza Factory",4.4,2.0,808.0,"OPERATIONAL","ChIJ-cZ5OS-qQjQRK62dGosfoW8","No. 379號, Section 2, Fuxing S Rd, Da’an District, Taipei City, Taiwan 106","['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"540 cafe",60661,"Cupitol Coffee & Eatery (West Loop)",4.7,2.0,361.0,"OPERATIONAL","ChIJ_YeHhRstDogReMyhOWcykXA","135 N Clinton St, Chicago, IL 60661, United States","['restaurant', 'bar', 'meal_takeaway', 'night_club', 'cafe', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']"
"5411 empanadas",60647,"5411 Empanadas | Wicker Park",4.4,1.0,510.0,"OPERATIONAL","ChIJG0SFxrjSD4gRdVvQ5N5RT5o","2045 W North Ave, Chicago, IL 60647, United States","['cafe', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']"
"5411 empanadas",60657,"5411 Empanadas",4.4,1.0,531.0,"OPERATIONAL","ChIJC-6hDsBL24cRenxD6X76YIk","2850 N Clark St, Chicago, IL 60657, United States","['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"5411 empanadas",60613,"5411 Empanadas | Southport",4.5,1.0,422.0,"OPERATIONAL","ChIJTcoAvU7SD4gRC5Fw9c3qw6I","Southport Corridor, 3715 N Southport Ave, Chicago, IL 60613, United States","['restaurant', 'meal_delivery', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']"
"55th st harold's & fresh lemonade",60609,"55 ST Harold's & fresh lemonade",3.4,1.0,477.0,"OPERATIONAL","ChIJI0LikOwuDogRFUOxFRNtOCs","740 W Garfield Blvd, Chicago, IL 60609, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"5g eatery inc llc",60604,"","","","","","","",""
"6 degrees",60647,"6 Degrees",4.6,1.0,139.0,"CLOSED_PERMANENTLY","ChIJ3db7s-rSD4gRiWGDz7TkgZo","1935 N Damen Ave, Chicago, IL 60647, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"6 five chinese restaurant",60606,"Sixty-Five Chinese Restaurant",3.0,1.0,2.0,"CLOSED_PERMANENTLY","ChIJ84BFk8AsDogRzxyMM1aSVlM","225 S Riverside Plaza, Chicago, IL 60606, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"606 cafe bar",60622,"Six06 Cafe Bar",4.6,2.0,408.0,"CLOSED_PERMANENTLY","ChIJy-EPtDItDogRTieqt5JGKrQ","1641 W Chicago Ave, Chicago, IL 60622, United States","['bar', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"63rd fried rice",60638,"63rd Fried Rice",4.0,"",31.0,"CLOSED_PERMANENTLY","ChIJ1fzjd0Q3DogRhhFYo3GA-Bg","6216 W 63rd St, Chicago, IL 60638, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"67 seafood market",60637,"67 seafood market",5.0,"",7.0,"CLOSED_PERMANENTLY","ChIJ1S90ergpDogRU3gnyQB80to","6658 S Cottage Grove Ave, Chicago, IL 60637, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"6978 soul food",60707,"6978 Soul Food",3.9,1.0,1419.0,"OPERATIONAL","ChIJh4pA7znLD4gRqAFzVeXXGTg","6978 W North Ave, Chicago, IL 60707, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
